time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-03-03T00:00:00.0000000Z,2020-03-03T04:00:00.0000000Z,2020-03-03T00:01:38.6270000Z,2020-03-03T03:59:52.4660000Z,8911.37,8918.77,8813.0,8880.01,596.64333858,2282
2020-03-03T04:00:00.0000000Z,2020-03-03T08:00:00.0000000Z,2020-03-03T04:00:13.3130000Z,2020-03-03T07:59:58.1850000Z,8873.68,8873.68,8746.76,8762.86,480.74049032,2225
2020-03-03T08:00:00.0000000Z,2020-03-03T12:00:00.0000000Z,2020-03-03T08:00:03.9120000Z,2020-03-03T11:59:42.5930000Z,8752.88,8882.35,8740.54,8874.3,592.82073086,2766
2020-03-03T12:00:00.0000000Z,2020-03-03T16:00:00.0000000Z,2020-03-03T12:00:01.8080000Z,2020-03-03T15:59:52.5880000Z,8875.03,8916.87,8674.69,8759.7,1568.26313293,3966
2020-03-03T16:00:00.0000000Z,2020-03-03T20:00:00.0000000Z,2020-03-03T16:00:00.3650000Z,2020-03-03T19:59:54.0010000Z,8752.13,8786.0,8660.04,8704.9,891.83897064,4017
2020-03-03T20:00:00.0000000Z,2020-03-04T00:00:00.0000000Z,2020-03-03T20:00:01.7540000Z,2020-03-03T23:59:47.3150000Z,8715.84,8794.99,8688.0,8755.45,329.4612158,2283
2020-03-04T00:00:00.0000000Z,2020-03-04T04:00:00.0000000Z,2020-03-04T00:00:01.5880000Z,2020-03-04T03:59:56.3740000Z,8755.45,8835.36,8722.83,8784.54,308.93378481,1988
2020-03-04T04:00:00.0000000Z,2020-03-04T08:00:00.0000000Z,2020-03-04T04:00:03.0800000Z,2020-03-04T07:59:30.8810000Z,8790.94,8850.0,8776.11,8814.67,262.39014479,1733
2020-03-04T08:00:00.0000000Z,2020-03-04T12:00:00.0000000Z,2020-03-04T08:00:15.5530000Z,2020-03-04T11:59:46.1360000Z,8817.36,8835.34,8702.28,8723.96,751.34018152,2625
2020-03-04T12:00:00.0000000Z,2020-03-04T16:00:00.0000000Z,2020-03-04T12:00:02.1210000Z,2020-03-04T15:59:57.5160000Z,8723.96,8790.05,8663.76,8703.81,886.26463577,2720
2020-03-04T16:00:00.0000000Z,2020-03-04T20:00:00.0000000Z,2020-03-04T16:00:03.2810000Z,2020-03-04T19:59:56.4780000Z,8703.81,8754.95,8675.31,8746.69,672.42829697,2225
2020-03-04T20:00:00.0000000Z,2020-03-05T00:00:00.0000000Z,2020-03-04T20:00:02.8890000Z,2020-03-04T23:59:54.7330000Z,8746.68,8773.67,8691.43,8753.28,471.87547844,2129
2020-03-05T00:00:00.0000000Z,2020-03-05T04:00:00.0000000Z,2020-03-05T00:00:58.5740000Z,2020-03-05T03:59:49.8910000Z,8757.79,8961.53,8757.79,8876.68,1050.87729427,3262
2020-03-05T04:00:00.0000000Z,2020-03-05T08:00:00.0000000Z,2020-03-05T04:00:10.6380000Z,2020-03-05T07:59:56.0510000Z,8879.58,8960.75,8872.06,8902.5,406.98549609,2021
2020-03-05T08:00:00.0000000Z,2020-03-05T12:00:00.0000000Z,2020-03-05T08:00:00.4040000Z,2020-03-05T11:59:15.4900000Z,8903.75,9126.85,8900.01,9115.81,1672.29160151,3812
2020-03-05T12:00:00.0000000Z,2020-03-05T16:00:00.0000000Z,2020-03-05T12:00:12.3250000Z,2020-03-05T15:59:59.3250000Z,9113.31,9149.98,9030.0,9096.45,1655.6174357,3627
2020-03-05T16:00:00.0000000Z,2020-03-05T20:00:00.0000000Z,2020-03-05T16:00:10.5190000Z,2020-03-05T19:59:59.9260000Z,9093.35,9169.0,9075.42,9160.28,863.44803266,2949
2020-03-05T20:00:00.0000000Z,2020-03-06T00:00:00.0000000Z,2020-03-05T20:00:00.6330000Z,2020-03-05T23:59:34.2940000Z,9163.03,9167.71,9042.38,9066.65,799.46581313,2699
2020-03-06T00:00:00.0000000Z,2020-03-06T04:00:00.0000000Z,2020-03-06T00:00:24.5630000Z,2020-03-06T03:59:42.4920000Z,9059.0,9094.88,8990.01,9052.64,414.56932508,2046
2020-03-06T04:00:00.0000000Z,2020-03-06T08:00:00.0000000Z,2020-03-06T04:00:12.5200000Z,2020-03-06T07:59:58.6960000Z,9049.99,9149.43,9018.23,9114.09,708.10203946,2246
2020-03-06T08:00:00.0000000Z,2020-03-06T12:00:00.0000000Z,2020-03-06T08:00:04.0090000Z,2020-03-06T11:59:38.7370000Z,9107.57,9187.85,9084.92,9142.65,744.2703326,2439
2020-03-06T12:00:00.0000000Z,2020-03-06T16:00:00.0000000Z,2020-03-06T12:00:04.7260000Z,2020-03-06T15:59:59.3460000Z,9137.68,9144.44,9019.72,9019.72,1367.1288936,2832
2020-03-06T16:00:00.0000000Z,2020-03-06T20:00:00.0000000Z,2020-03-06T16:00:01.8040000Z,2020-03-06T19:59:53.2210000Z,9029.41,9119.53,9022.82,9106.42,464.19051425,2058
2020-03-06T20:00:00.0000000Z,2020-03-07T00:00:00.0000000Z,2020-03-06T20:00:01.7830000Z,2020-03-06T23:59:55.5640000Z,9106.42,9160.8,9078.16,9153.79,438.1622893,2094
2020-03-07T00:00:00.0000000Z,2020-03-07T04:00:00.0000000Z,2020-03-07T00:00:27.3980000Z,2020-03-07T03:59:51.4320000Z,9154.1,9171.81,9092.59,9114.7,248.94464463,1582
2020-03-07T04:00:00.0000000Z,2020-03-07T08:00:00.0000000Z,2020-03-07T04:00:03.1570000Z,2020-03-07T07:59:35.1850000Z,9113.98,9130.66,9066.48,9097.61,312.00725191,1651
2020-03-07T08:00:00.0000000Z,2020-03-07T12:00:00.0000000Z,2020-03-07T08:00:04.2900000Z,2020-03-07T11:59:58.6950000Z,9100.82,9141.69,9088.48,9113.99,161.92771879,1557
2020-03-07T12:00:00.0000000Z,2020-03-07T16:00:00.0000000Z,2020-03-07T12:00:05.7630000Z,2020-03-07T15:59:47.5360000Z,9113.91,9158.01,9088.0,9130.51,207.0286338,1587
2020-03-07T16:00:00.0000000Z,2020-03-07T20:00:00.0000000Z,2020-03-07T16:00:01.9360000Z,2020-03-07T19:59:57.8850000Z,9138.58,9219.13,8859.49,8895.0,1651.32158672,3853
2020-03-07T20:00:00.0000000Z,2020-03-08T00:00:00.0000000Z,2020-03-07T20:00:05.6900000Z,2020-03-07T23:59:58.8880000Z,8895.0,8930.0,8861.74,8893.93,221.69987028,1600
2020-03-08T00:00:00.0000000Z,2020-03-08T04:00:00.0000000Z,2020-03-08T00:00:15.2790000Z,2020-03-08T03:59:44.0370000Z,8901.12,8901.12,8717.0,8752.52,1248.51605795,2809
2020-03-08T04:00:00.0000000Z,2020-03-08T08:00:00.0000000Z,2020-03-08T04:00:00.4300000Z,2020-03-08T07:59:44.5690000Z,8758.82,8762.12,8710.36,8757.46,346.50582865,1861
2020-03-08T08:00:00.0000000Z,2020-03-08T12:00:00.0000000Z,2020-03-08T08:00:04.2610000Z,2020-03-08T11:59:59.3560000Z,8750.52,8764.0,8675.31,8749.25,398.19414976,2471
2020-03-08T12:00:00.0000000Z,2020-03-08T16:00:00.0000000Z,2020-03-08T12:00:10.6330000Z,2020-03-08T15:59:59.0000000Z,8756.01,8758.97,8335.56,8399.53,1710.27239656,5029
2020-03-08T16:00:00.0000000Z,2020-03-08T20:00:00.0000000Z,2020-03-08T16:00:01.5660000Z,2020-03-08T19:59:59.8300000Z,8405.44,8405.44,8151.0,8287.29,2176.20539461,6660
2020-03-08T20:00:00.0000000Z,2020-03-09T00:00:00.0000000Z,2020-03-08T20:00:07.3390000Z,2020-03-08T23:59:54.6640000Z,8282.91,8312.44,7995.48,8033.7,2811.88976869,5748
2020-03-09T00:00:00.0000000Z,2020-03-09T04:00:00.0000000Z,2020-03-09T00:00:07.0310000Z,2020-03-09T03:59:57.0050000Z,8035.79,8191.13,8000.0,8069.77,1975.19100344,3938
2020-03-09T04:00:00.0000000Z,2020-03-09T08:00:00.0000000Z,2020-03-09T04:00:00.5430000Z,2020-03-09T07:59:41.8480000Z,8075.55,8075.55,7684.7,7905.61,2354.81374571,6224
2020-03-09T08:00:00.0000000Z,2020-03-09T12:00:00.0000000Z,2020-03-09T08:00:01.4770000Z,2020-03-09T11:59:59.3170000Z,7904.57,8001.55,7767.57,7816.41,1463.87865311,5037
2020-03-09T12:00:00.0000000Z,2020-03-09T16:00:00.0000000Z,2020-03-09T12:00:00.8030000Z,2020-03-09T15:59:58.9220000Z,7816.42,7924.53,7636.0,7760.78,2996.72999514,7393
2020-03-09T16:00:00.0000000Z,2020-03-09T20:00:00.0000000Z,2020-03-09T16:00:00.3250000Z,2020-03-09T19:59:59.9610000Z,7761.66,7890.0,7690.0,7845.8,1872.54392615,5504
2020-03-09T20:00:00.0000000Z,2020-03-10T00:00:00.0000000Z,2020-03-09T20:00:02.8780000Z,2020-03-09T23:59:48.3040000Z,7845.62,7942.23,7792.14,7936.25,1479.12707928,4542
2020-03-10T00:00:00.0000000Z,2020-03-10T04:00:00.0000000Z,2020-03-10T00:00:07.9810000Z,2020-03-10T03:59:32.8210000Z,7937.2,7966.2,7840.0,7900.52,626.84835114,3162
2020-03-10T04:00:00.0000000Z,2020-03-10T08:00:00.0000000Z,2020-03-10T04:00:00.5040000Z,2020-03-10T07:59:30.2550000Z,7907.25,7955.76,7868.87,7905.38,556.57579403,2846
2020-03-10T08:00:00.0000000Z,2020-03-10T12:00:00.0000000Z,2020-03-10T08:00:00.3320000Z,2020-03-10T11:59:54.5420000Z,7906.97,8119.38,7872.44,8074.66,1514.06651413,4336
2020-03-10T12:00:00.0000000Z,2020-03-10T16:00:00.0000000Z,2020-03-10T12:00:06.7730000Z,2020-03-10T15:59:55.0340000Z,8074.45,8158.42,7748.36,7755.03,2446.73125893,5382
2020-03-10T16:00:00.0000000Z,2020-03-10T20:00:00.0000000Z,2020-03-10T16:00:00.4990000Z,2020-03-10T19:59:56.9260000Z,7762.86,7984.19,7733.99,7984.19,1731.53372458,4333
2020-03-10T20:00:00.0000000Z,2020-03-11T00:00:00.0000000Z,2020-03-10T20:00:03.7790000Z,2020-03-10T23:59:59.6080000Z,7984.19,8041.84,7870.11,7885.92,1251.19747863,3462
2020-03-11T00:00:00.0000000Z,2020-03-11T04:00:00.0000000Z,2020-03-11T00:00:18.9150000Z,2020-03-11T03:59:46.8760000Z,7893.63,7969.7,7861.68,7925.96,453.61201514,1943
2020-03-11T04:00:00.0000000Z,2020-03-11T08:00:00.0000000Z,2020-03-11T04:00:00.8110000Z,2020-03-11T07:59:57.0310000Z,7924.03,7951.72,7823.06,7869.61,585.06950581,2275
2020-03-11T08:00:00.0000000Z,2020-03-11T12:00:00.0000000Z,2020-03-11T08:00:07.6080000Z,2020-03-11T11:59:47.4310000Z,7863.99,7929.03,7766.97,7829.09,1250.53691991,3592
2020-03-11T12:00:00.0000000Z,2020-03-11T16:00:00.0000000Z,2020-03-11T12:00:01.9400000Z,2020-03-11T15:59:59.6630000Z,7833.72,7906.4,7739.07,7780.88,1389.49912885,3511
2020-03-11T16:00:00.0000000Z,2020-03-11T20:00:00.0000000Z,2020-03-11T16:00:00.2700000Z,2020-03-11T19:59:52.9480000Z,7793.75,7849.41,7591.99,7829.8,2824.8005314,4892
2020-03-11T20:00:00.0000000Z,2020-03-12T00:00:00.0000000Z,2020-03-11T20:00:15.0710000Z,2020-03-11T23:59:52.9140000Z,7841.13,7988.78,7800.1,7934.57,721.29012494,2657
2020-03-12T00:00:00.0000000Z,2020-03-12T04:00:00.0000000Z,2020-03-12T00:00:31.2850000Z,2020-03-12T03:59:47.8520000Z,7956.29,7969.9,7572.35,7662.3,2026.97109594,4110
2020-03-12T04:00:00.0000000Z,2020-03-12T08:00:00.0000000Z,2020-03-12T04:00:07.9640000Z,2020-03-12T07:59:59.1950000Z,7664.58,7664.58,7340.0,7387.43,3551.68351466,6219
2020-03-12T08:00:00.0000000Z,2020-03-12T12:00:00.0000000Z,2020-03-12T08:00:01.0030000Z,2020-03-12T11:59:57.6600000Z,7382.41,7465.0,5720.54,6030.94,18107.66165875,32971
2020-03-12T12:00:00.0000000Z,2020-03-12T16:00:00.0000000Z,2020-03-12T12:00:00.6630000Z,2020-03-12T15:59:54.2570000Z,6004.32,6289.03,5713.68,6124.91,15834.20044518,27112
2020-03-12T16:00:00.0000000Z,2020-03-12T20:00:00.0000000Z,2020-03-12T16:00:02.0030000Z,2020-03-12T19:59:48.3740000Z,6134.86,6242.56,5948.68,6032.9,4865.59480032,9742
2020-03-12T20:00:00.0000000Z,2020-03-13T00:00:00.0000000Z,2020-03-12T20:00:10.1480000Z,2020-03-12T23:59:59.6480000Z,6031.2,6049.38,4776.59,4841.67,12160.69634631,20011
2020-03-13T00:00:00.0000000Z,2020-03-13T04:00:00.0000000Z,2020-03-13T00:00:00.7700000Z,2020-03-13T03:59:59.9280000Z,4841.67,5640.52,3850.0,5365.42,13031.10830136,25405
2020-03-13T04:00:00.0000000Z,2020-03-13T08:00:00.0000000Z,2020-03-13T04:00:00.8040000Z,2020-03-13T07:59:59.0680000Z,5362.37,5472.25,4851.24,5431.52,5542.23278443,12059
2020-03-13T08:00:00.0000000Z,2020-03-13T12:00:00.0000000Z,2020-03-13T08:00:05.9780000Z,2020-03-13T11:59:57.1520000Z,5432.55,5848.0,5240.0,5454.18,7050.04149872,12753
2020-03-13T12:00:00.0000000Z,2020-03-13T16:00:00.0000000Z,2020-03-13T12:00:01.4630000Z,2020-03-13T15:59:49.1970000Z,5453.07,5990.34,4975.0,5250.68,9991.46772838,16218
2020-03-13T16:00:00.0000000Z,2020-03-13T20:00:00.0000000Z,2020-03-13T16:00:04.5440000Z,2020-03-13T19:59:57.6460000Z,5239.06,5588.2,4855.06,5453.51,6019.2926037,10377
2020-03-13T20:00:00.0000000Z,2020-03-14T00:00:00.0000000Z,2020-03-13T20:00:02.0430000Z,2020-03-13T23:59:59.1210000Z,5459.14,5777.63,5316.99,5622.74,3163.40032963,8990
2020-03-14T00:00:00.0000000Z,2020-03-14T04:00:00.0000000Z,2020-03-14T00:00:06.3980000Z,2020-03-14T03:59:59.7670000Z,5623.16,5663.01,5349.09,5605.1,2323.41699671,5242
2020-03-14T04:00:00.0000000Z,2020-03-14T08:00:00.0000000Z,2020-03-14T04:00:00.2330000Z,2020-03-14T07:59:46.2090000Z,5612.42,5612.43,5424.9,5529.52,1883.44007612,3862
2020-03-14T08:00:00.0000000Z,2020-03-14T12:00:00.0000000Z,2020-03-14T08:00:01.2800000Z,2020-03-14T11:59:49.5590000Z,5527.76,5538.04,5209.69,5492.27,2845.00683303,5608
2020-03-14T12:00:00.0000000Z,2020-03-14T16:00:00.0000000Z,2020-03-14T12:00:02.5780000Z,2020-03-14T15:59:58.9840000Z,5482.54,5493.62,5290.0,5320.91,2666.22216411,4421
2020-03-14T16:00:00.0000000Z,2020-03-14T20:00:00.0000000Z,2020-03-14T16:00:01.2720000Z,2020-03-14T19:59:52.8710000Z,5326.56,5511.77,5277.04,5391.92,2535.07863075,3514
2020-03-14T20:00:00.0000000Z,2020-03-15T00:00:00.0000000Z,2020-03-14T20:00:00.8310000Z,2020-03-14T23:59:55.0310000Z,5392.48,5433.04,5051.0,5169.37,2986.88883237,4402
2020-03-15T00:00:00.0000000Z,2020-03-15T04:00:00.0000000Z,2020-03-15T00:00:09.1260000Z,2020-03-15T03:57:30.4330000Z,5167.38,5271.48,5092.34,5168.25,1628.94488101,2256
2020-03-15T04:00:00.0000000Z,2020-03-15T08:00:00.0000000Z,2020-03-15T04:00:04.5010000Z,2020-03-15T07:59:12.3800000Z,5175.4,5323.37,5175.4,5270.14,733.66158703,1485
2020-03-15T08:00:00.0000000Z,2020-03-15T12:00:00.0000000Z,2020-03-15T08:00:02.1790000Z,2020-03-15T11:59:58.8560000Z,5263.28,5489.0,5205.48,5431.4,1803.42111702,1901
2020-03-15T12:00:00.0000000Z,2020-03-15T16:00:00.0000000Z,2020-03-15T12:00:01.9270000Z,2020-03-15T15:59:29.5610000Z,5437.45,5585.11,5240.0,5310.33,2517.45253772,2668
